genre_name,metacritic_avg,metacritic_std,game_count,rating_avg,rating_std,rating_scaled_mean,consensus_score_avg,discrepancy_score,discrepancy_std,avg_playtime
Puzzle,78.14,8.71,14,4.09,0.32,77.21,79.96,-0.09,1.16,2.21
Board Games,70.35,10.25,20,3.7,0.5,67.49,72.17,-0.29,0.96,0.15
Arcade,73.92,10.43,78,3.78,0.43,69.57,74.79,-0.44,1.21,2.55
Platformer,79.5,11.78,38,3.95,0.37,73.79,79.27,-0.57,0.93,3.76
Family,76.44,12.21,9,3.75,0.37,68.81,75.74,-0.76,0.98,1.33
Shooter,78.33,12.26,70,3.8,0.47,69.97,77.15,-0.84,1.04,5.47
Massively Multiplayer,70.67,10.69,3,3.48,0.72,62.0,70.13,-0.87,0.81,1.0
Fighting,79.61,8.61,36,3.83,0.5,70.69,78.08,-0.89,1.16,0.94
Educational,69.33,4.04,3,3.4,0.51,60.08,68.7,-0.92,1.43,2.0
Racing,76.72,11.34,155,3.7,0.57,67.55,75.38,-0.92,1.19,5.16
RPG,76.73,9.82,413,3.69,0.63,67.28,75.28,-0.94,1.26,6.31
Adventure,73.6,9.66,787,3.55,0.57,63.85,72.34,-0.97,1.26,3.85
Simulation,73.76,10.27,141,3.55,0.57,63.8,72.4,-1.0,1.27,7.18
Action,72.66,11.73,3282,3.49,0.62,62.28,71.24,-1.04,1.24,3.9
Casual,74.68,8.34,47,3.57,0.65,64.33,73.07,-1.04,1.61,2.62
Indie,75.63,10.19,30,3.59,0.64,64.82,73.74,-1.08,1.11,2.7
Strategy,75.02,9.47,505,3.49,0.63,62.28,72.42,-1.27,1.39,4.71
Sports,75.56,11.3,169,3.49,0.52,62.35,72.72,-1.32,1.22,8.63
Card,72.0,,1,3.33,,58.25,69.3,-1.38,,10.0
